route_id,source,destination,vehicle_position,timestamp,available_seats,next_stop,day,time_of_day
1,Jantar Mantar,Lajpat Nagar,"(77.21753324757512, 28.616745567691144)",4,45,Lodhi Garden 1,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.2177715594689, 28.61411945961393)",5,43,Lodhi Garden 1,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21800987136268, 28.61149335153672)",6,37,Lodhi Garden 1,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21824818325645, 28.608867243459503)",7,47,Lodhi Garden 1,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21848649515023, 28.60624113538229)",8,50,Lodhi Garden 1,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21872480704401, 28.60361502730508)",9,42,Lodhi Garden 1,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.2189631189378, 28.600988919227863)",10,43,Lodhi Garden 1,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21920143083157, 28.59836281115065)",11,42,Lodhi Garden 1,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21943974272536, 28.595736703073435)",12,49,Lodhi Garden 1,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21967805461914, 28.593110594996222)",0,44,Lajpat Nagar,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.22228640789785, 28.58956343430248)",1,45,Lajpat Nagar,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.22489476117659, 28.586016273608738)",2,47,Lajpat Nagar,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.22750311445532, 28.582469112914996)",3,41,Lajpat Nagar,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.23011146773403, 28.578921952221254)",4,45,Lajpat Nagar,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.23271982101275, 28.575374791527512)",5,41,Lajpat Nagar,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.23532817429148, 28.57182763083377)",6,48,Lajpat Nagar,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.23793652757021, 28.568280470140028)",7,41,Lajpat Nagar,Day 1,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21658, 28.62725)",0,41,Lodhi Garden 1,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21681831189377, 28.624623891922788)",1,50,Lodhi Garden 1,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21705662378756, 28.621997783845572)",2,49,Lodhi Garden 1,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21729493568134, 28.61937167576836)",3,41,Lodhi Garden 1,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21753324757512, 28.616745567691144)",4,47,Lodhi Garden 1,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.2177715594689, 28.61411945961393)",5,47,Lodhi Garden 1,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21800987136268, 28.61149335153672)",6,46,Lodhi Garden 1,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21824818325645, 28.608867243459503)",7,39,Lodhi Garden 1,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21848649515023, 28.60624113538229)",8,44,Lodhi Garden 1,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21872480704401, 28.60361502730508)",9,48,Lodhi Garden 1,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.2189631189378, 28.600988919227863)",10,48,Lodhi Garden 1,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21920143083157, 28.59836281115065)",11,44,Lodhi Garden 1,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21943974272536, 28.595736703073435)",12,45,Lodhi Garden 1,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21967805461914, 28.593110594996222)",0,47,Lajpat Nagar,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.22228640789785, 28.58956343430248)",1,46,Lajpat Nagar,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.22489476117659, 28.586016273608738)",2,50,Lajpat Nagar,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.22750311445532, 28.582469112914996)",3,44,Lajpat Nagar,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.23011146773403, 28.578921952221254)",4,40,Lajpat Nagar,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.23271982101275, 28.575374791527512)",5,50,Lajpat Nagar,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.23532817429148, 28.57182763083377)",6,42,Lajpat Nagar,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.23793652757021, 28.568280470140028)",7,45,Lajpat Nagar,Day 1,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21658, 28.62725)",0,22,Lodhi Garden 1,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21681831189377, 28.624623891922788)",1,20,Lodhi Garden 1,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21705662378756, 28.621997783845572)",2,30,Lodhi Garden 1,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21729493568134, 28.61937167576836)",3,25,Lodhi Garden 1,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21753324757512, 28.616745567691144)",4,28,Lodhi Garden 1,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.2177715594689, 28.61411945961393)",5,27,Lodhi Garden 1,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21800987136268, 28.61149335153672)",6,29,Lodhi Garden 1,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21824818325645, 28.608867243459503)",7,22,Lodhi Garden 1,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21848649515023, 28.60624113538229)",8,26,Lodhi Garden 1,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21872480704401, 28.60361502730508)",9,30,Lodhi Garden 1,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.2189631189378, 28.600988919227863)",10,26,Lodhi Garden 1,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21920143083157, 28.59836281115065)",11,30,Lodhi Garden 1,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21943974272536, 28.595736703073435)",12,23,Lodhi Garden 1,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21967805461914, 28.593110594996222)",0,26,Lajpat Nagar,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.22228640789785, 28.58956343430248)",1,21,Lajpat Nagar,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.22489476117659, 28.586016273608738)",2,25,Lajpat Nagar,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.22750311445532, 28.582469112914996)",3,18,Lajpat Nagar,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.23011146773403, 28.578921952221254)",4,27,Lajpat Nagar,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.23271982101275, 28.575374791527512)",5,20,Lajpat Nagar,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.23532817429148, 28.57182763083377)",6,25,Lajpat Nagar,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.23793652757021, 28.568280470140028)",7,19,Lajpat Nagar,Day 2,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21658, 28.62725)",0,38,Lodhi Garden 1,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21681831189377, 28.624623891922788)",1,41,Lodhi Garden 1,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21705662378756, 28.621997783845572)",2,39,Lodhi Garden 1,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21729493568134, 28.61937167576836)",3,48,Lodhi Garden 1,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21753324757512, 28.616745567691144)",4,43,Lodhi Garden 1,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.2177715594689, 28.61411945961393)",5,42,Lodhi Garden 1,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21800987136268, 28.61149335153672)",6,48,Lodhi Garden 1,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21824818325645, 28.608867243459503)",7,41,Lodhi Garden 1,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21848649515023, 28.60624113538229)",8,48,Lodhi Garden 1,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21872480704401, 28.60361502730508)",9,37,Lodhi Garden 1,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.2189631189378, 28.600988919227863)",10,50,Lodhi Garden 1,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21920143083157, 28.59836281115065)",11,50,Lodhi Garden 1,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21943974272536, 28.595736703073435)",12,46,Lodhi Garden 1,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21967805461914, 28.593110594996222)",0,41,Lajpat Nagar,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.22228640789785, 28.58956343430248)",1,40,Lajpat Nagar,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.22489476117659, 28.586016273608738)",2,44,Lajpat Nagar,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.22750311445532, 28.582469112914996)",3,37,Lajpat Nagar,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.23011146773403, 28.578921952221254)",4,43,Lajpat Nagar,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.23271982101275, 28.575374791527512)",5,42,Lajpat Nagar,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.23532817429148, 28.57182763083377)",6,46,Lajpat Nagar,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.23793652757021, 28.568280470140028)",7,43,Lajpat Nagar,Day 2,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21658, 28.62725)",0,45,Lodhi Garden 1,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21681831189377, 28.624623891922788)",1,42,Lodhi Garden 1,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21705662378756, 28.621997783845572)",2,47,Lodhi Garden 1,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21729493568134, 28.61937167576836)",3,49,Lodhi Garden 1,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21753324757512, 28.616745567691144)",4,45,Lodhi Garden 1,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.2177715594689, 28.61411945961393)",5,43,Lodhi Garden 1,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21800987136268, 28.61149335153672)",6,42,Lodhi Garden 1,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21824818325645, 28.608867243459503)",7,41,Lodhi Garden 1,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21848649515023, 28.60624113538229)",8,46,Lodhi Garden 1,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21872480704401, 28.60361502730508)",9,50,Lodhi Garden 1,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.2189631189378, 28.600988919227863)",10,43,Lodhi Garden 1,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21920143083157, 28.59836281115065)",11,46,Lodhi Garden 1,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21943974272536, 28.595736703073435)",12,50,Lodhi Garden 1,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21967805461914, 28.593110594996222)",0,47,Lajpat Nagar,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.22228640789785, 28.58956343430248)",1,43,Lajpat Nagar,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.22489476117659, 28.586016273608738)",2,43,Lajpat Nagar,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.22750311445532, 28.582469112914996)",3,50,Lajpat Nagar,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.23011146773403, 28.578921952221254)",4,47,Lajpat Nagar,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.23271982101275, 28.575374791527512)",5,47,Lajpat Nagar,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.23532817429148, 28.57182763083377)",6,49,Lajpat Nagar,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.23793652757021, 28.568280470140028)",7,45,Lajpat Nagar,Day 2,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21658, 28.62725)",0,24,Lodhi Garden 1,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21681831189377, 28.624623891922788)",1,32,Lodhi Garden 1,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21705662378756, 28.621997783845572)",2,28,Lodhi Garden 1,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21729493568134, 28.61937167576836)",3,20,Lodhi Garden 1,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21753324757512, 28.616745567691144)",4,30,Lodhi Garden 1,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.2177715594689, 28.61411945961393)",5,24,Lodhi Garden 1,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21800987136268, 28.61149335153672)",6,21,Lodhi Garden 1,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21824818325645, 28.608867243459503)",7,25,Lodhi Garden 1,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21848649515023, 28.60624113538229)",8,30,Lodhi Garden 1,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21872480704401, 28.60361502730508)",9,23,Lodhi Garden 1,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.2189631189378, 28.600988919227863)",10,19,Lodhi Garden 1,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21920143083157, 28.59836281115065)",11,21,Lodhi Garden 1,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21943974272536, 28.595736703073435)",12,29,Lodhi Garden 1,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21967805461914, 28.593110594996222)",0,19,Lajpat Nagar,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.22228640789785, 28.58956343430248)",1,30,Lajpat Nagar,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.22489476117659, 28.586016273608738)",2,23,Lajpat Nagar,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.22750311445532, 28.582469112914996)",3,25,Lajpat Nagar,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.23011146773403, 28.578921952221254)",4,23,Lajpat Nagar,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.23271982101275, 28.575374791527512)",5,26,Lajpat Nagar,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.23532817429148, 28.57182763083377)",6,20,Lajpat Nagar,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.23793652757021, 28.568280470140028)",7,31,Lajpat Nagar,Day 3,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21658, 28.62725)",0,38,Lodhi Garden 1,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21681831189377, 28.624623891922788)",1,43,Lodhi Garden 1,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21705662378756, 28.621997783845572)",2,44,Lodhi Garden 1,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21729493568134, 28.61937167576836)",3,50,Lodhi Garden 1,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21753324757512, 28.616745567691144)",4,42,Lodhi Garden 1,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.2177715594689, 28.61411945961393)",5,50,Lodhi Garden 1,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21800987136268, 28.61149335153672)",6,40,Lodhi Garden 1,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21824818325645, 28.608867243459503)",7,44,Lodhi Garden 1,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21848649515023, 28.60624113538229)",8,42,Lodhi Garden 1,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21872480704401, 28.60361502730508)",9,47,Lodhi Garden 1,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.2189631189378, 28.600988919227863)",10,49,Lodhi Garden 1,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21920143083157, 28.59836281115065)",11,46,Lodhi Garden 1,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21943974272536, 28.595736703073435)",12,37,Lodhi Garden 1,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21967805461914, 28.593110594996222)",0,45,Lajpat Nagar,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.22228640789785, 28.58956343430248)",1,46,Lajpat Nagar,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.22489476117659, 28.586016273608738)",2,45,Lajpat Nagar,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.22750311445532, 28.582469112914996)",3,47,Lajpat Nagar,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.23011146773403, 28.578921952221254)",4,50,Lajpat Nagar,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.23271982101275, 28.575374791527512)",5,48,Lajpat Nagar,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.23532817429148, 28.57182763083377)",6,50,Lajpat Nagar,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.23793652757021, 28.568280470140028)",7,45,Lajpat Nagar,Day 3,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21658, 28.62725)",0,46,Lodhi Garden 1,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21681831189377, 28.624623891922788)",1,45,Lodhi Garden 1,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21705662378756, 28.621997783845572)",2,50,Lodhi Garden 1,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21729493568134, 28.61937167576836)",3,43,Lodhi Garden 1,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21753324757512, 28.616745567691144)",4,50,Lodhi Garden 1,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.2177715594689, 28.61411945961393)",5,46,Lodhi Garden 1,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21800987136268, 28.61149335153672)",6,44,Lodhi Garden 1,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21824818325645, 28.608867243459503)",7,45,Lodhi Garden 1,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21848649515023, 28.60624113538229)",8,43,Lodhi Garden 1,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21872480704401, 28.60361502730508)",9,37,Lodhi Garden 1,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.2189631189378, 28.600988919227863)",10,44,Lodhi Garden 1,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21920143083157, 28.59836281115065)",11,40,Lodhi Garden 1,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21943974272536, 28.595736703073435)",12,45,Lodhi Garden 1,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21967805461914, 28.593110594996222)",0,50,Lajpat Nagar,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.22228640789785, 28.58956343430248)",1,44,Lajpat Nagar,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.22489476117659, 28.586016273608738)",2,46,Lajpat Nagar,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.22750311445532, 28.582469112914996)",3,47,Lajpat Nagar,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.23011146773403, 28.578921952221254)",4,44,Lajpat Nagar,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.23271982101275, 28.575374791527512)",5,44,Lajpat Nagar,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.23532817429148, 28.57182763083377)",6,41,Lajpat Nagar,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.23793652757021, 28.568280470140028)",7,46,Lajpat Nagar,Day 3,Night
1,Jantar Mantar,Lajpat Nagar,"(77.21658, 28.62725)",0,25,Lodhi Garden 1,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21681831189377, 28.624623891922788)",1,19,Lodhi Garden 1,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21705662378756, 28.621997783845572)",2,21,Lodhi Garden 1,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21729493568134, 28.61937167576836)",3,20,Lodhi Garden 1,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21753324757512, 28.616745567691144)",4,19,Lodhi Garden 1,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.2177715594689, 28.61411945961393)",5,26,Lodhi Garden 1,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21800987136268, 28.61149335153672)",6,22,Lodhi Garden 1,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21824818325645, 28.608867243459503)",7,22,Lodhi Garden 1,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21848649515023, 28.60624113538229)",8,19,Lodhi Garden 1,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21872480704401, 28.60361502730508)",9,25,Lodhi Garden 1,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.2189631189378, 28.600988919227863)",10,21,Lodhi Garden 1,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21920143083157, 28.59836281115065)",11,32,Lodhi Garden 1,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21943974272536, 28.595736703073435)",12,19,Lodhi Garden 1,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21967805461914, 28.593110594996222)",0,21,Lajpat Nagar,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.22228640789785, 28.58956343430248)",1,29,Lajpat Nagar,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.22489476117659, 28.586016273608738)",2,23,Lajpat Nagar,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.22750311445532, 28.582469112914996)",3,24,Lajpat Nagar,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.23011146773403, 28.578921952221254)",4,23,Lajpat Nagar,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.23271982101275, 28.575374791527512)",5,22,Lajpat Nagar,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.23532817429148, 28.57182763083377)",6,25,Lajpat Nagar,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.23793652757021, 28.568280470140028)",7,30,Lajpat Nagar,Day 4,Afternoon
1,Jantar Mantar,Lajpat Nagar,"(77.21658, 28.62725)",0,43,Lodhi Garden 1,Day 4,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21681831189377, 28.624623891922788)",1,45,Lodhi Garden 1,Day 4,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21705662378756, 28.621997783845572)",2,44,Lodhi Garden 1,Day 4,Morning
1,Jantar Mantar,Lajpat Nagar,"(77.21729493568134, 28.61937167576836)",3,40,Lodhi Garden 1,Day 4,Morning
